344	25	4.0	898989898
344	198	5.0	898989898
344	707	4.0	898989898
344	106	2.0	898989898
344	298	4.0	898989898
344	864	3.0	898989898
344	684	3.0	898989898
344	322	2.0	898989898
344	228	4.0	898989898
344	248	4.0	898989898
344	405	2.0	898989898
344	132	4.0	898989898
344	1	3.0	898989898
344	273	4.0	898989898
344	96	4.0	898989898
344	357	5.0	898989898
344	14	5.0	898989898
344	315	5.0	898989898
344	955	4.0	898989898
344	408	5.0	898989898
344	58	3.0	898989898
344	125	3.0	898989898
344	751	4.0	898989898
344	169	5.0	898989898
344	297	4.0	898989898
344	372	4.0	898989898
344	122	1.0	898989898
344	255	4.0	898989898
344	844	1.0	898989898
344	39	3.0	898989898
344	1050	3.0	898989898
344	9	5.0	898989898
344	246	4.0	898989898
344	896	4.0	898989898
344	4	4.0	898989898
344	529	5.0	898989898
344	276	4.0	898989898
344	478	4.0	898989898
344	451	4.0	898989898
344	678	2.0	898989898
344	313	3.0	898989898
344	11	3.0	898989898
344	272	5.0	898989898
344	191	5.0	898989898
344	79	4.0	898989898
344	284	3.0	898989898
344	50	5.0	898989898
344	715	4.0	898989898
344	89	5.0	898989898
344	696	3.0	898989898
344	283	4.0	898989898
344	716	3.0	898989898
344	471	3.0	898989898
344	709	5.0	898989898
344	462	2.0	898989898
344	845	3.0	898989898
344	183	5.0	898989898
344	151	5.0	898989898
344	562	2.0	898989898
344	486	4.0	898989898
344	285	5.0	898989898
344	117	3.0	898989898
344	275	4.0	898989898
344	97	3.0	898989898
344	208	5.0	898989898
344	129	4.0	898989898
344	237	3.0	898989898
344	245	3.0	898989898
344	127	5.0	898989898
344	1137	3.0	898989898
344	487	5.0	898989898
344	148	2.0	898989898
344	306	5.0	898989898
344	235	3.0	898989898
344	1048	3.0	898989898
344	202	4.0	898989898
344	70	3.0	898989898
344	45	5.0	898989898
344	280	3.0	898989898
344	708	4.0	898989898
344	210	4.0	898989898
344	251	5.0	898989898
344	1142	5.0	898989898
344	269	4.0	898989898
344	972	4.0	898989898
344	86	4.0	898989898
344	172	4.0	898989898
344	1007	4.0	898989898
344	535	3.0	898989898
344	64	5.0	898989898
344	647	4.0	898989898
344	1172	4.0	898989898
344	431	3.0	898989898
344	477	3.0	898989898
344	181	3.0	898989898
344	175	5.0	898989898
344	286	3.0	898989898
344	295	3.0	898989898
344	258	3.0	898989898
344	511	4.0	898989898
344	118	3.0	898989898
344	8	5.0	898989898
344	476	3.0	898989898
344	472	3.0	898989898
344	5	3.0	898989898
344	281	3.0	898989898
344	174	5.0	898989898
344	244	3.0	898989898
344	73	3.0	898989898
344	660	3.0	898989898
344	111	4.0	898989898
344	124	5.0	898989898
344	291	3.0	898989898
344	311	4.0	898989898
344	928	2.0	898989898
344	22	3.0	898989898
344	301	4.0	898989898
344	663	5.0	898989898
344	433	4.0	898989898
344	694	5.0	898989898
344	421	2.0	898989898
344	530	4.0	898989898
344	385	2.0	898989898
344	215	3.0	898989898
344	173	5.0	898989898
344	176	5.0	898989898
344	713	3.0	898989898
344	121	3.0	898989898
344	496	4.0	898989898
344	516	5.0	898989898
344	764	1.0	898989898
344	274	2.0	898989898
344	459	4.0	898989898
344	588	5.0	898989898
344	756	2.0	898989898
344	71	3.0	898989898
344	137	5.0	898989898
344	628	4.0	898989898
344	762	3.0	898989898
344	278	3.0	898989898
344	290	2.0	898989898
344	479	4.0	898989898
344	1014	4.0	898989898
344	288	4.0	898989898
344	216	4.0	898989898
344	463	4.0	898989898
344	319	1.0	898989898
344	19	4.0	898989898
